title,openreview_link,authors
Representational Strengths and Limitations of Transformers,https://openreview.net/forum?id=36DxONZ9bA,"Clayton Sanford, Daniel Hsu, Matus Telgarsky"
ARTIC3D: Learning Robust Articulated 3D Shapes from Noisy Web Image Collections,https://openreview.net/forum?id=rJc5Lsn5QU,"Chun-Han Yao, Amit Raj, Wei-Chih Hung, Michael Rubinstein, Yuanzhen Li, Ming-Hsuan Yang, Varun Jampani"
Video Timeline Modeling For News Story Understanding,https://openreview.net/forum?id=EBYZSRRzSE,"Meng Liu, Mingda Zhang, Jialu Liu, Hanjun Dai, Ming-Hsuan Yang, Shuiwang Ji, Zheyun Feng, Boqing Gong"
Data-Informed Geometric Space Selection,https://openreview.net/forum?id=fpElyckKkd,"Shuai Zhang, Wenqi Jiang"
A Tale of Two Features: Stable Diffusion Complements DINO for Zero-Shot Semantic Correspondence,https://openreview.net/forum?id=lds9D17HRd,"Junyi Zhang, Charles Herrmann, Junhwa Hur, Luisa Polania Cabrera, Varun Jampani, Deqing Sun, Ming-Hsuan Yang"
LayoutGPT: Compositional Visual Planning and Generation with Large Language Models,https://openreview.net/forum?id=Xu8aG5Q8M3,"Weixi Feng, Wanrong Zhu, Tsu-Jui Fu, Varun Jampani, Arjun Akula, Xuehai He, S Basu, Xin Eric Wang, William Yang Wang"
NAVI: Category-Agnostic Image Collections with High-Quality 3D Shape and Pose Annotations,https://openreview.net/forum?id=8TMhs2pIfG,"Varun Jampani, Kevis-kokitsi Maninis, Andreas Engelhardt, Arjun Karpur, Karen Truong, Kyle Sargent, Stefan Popov, Andre Araujo, Ricardo Martin Brualla, Kaushal Patel, Daniel Vlasic, Vittorio Ferrari, Ameesh Makadia, Ce Liu, Yuanzhen Li, Howard Zhou"
Neural Combinatorial Optimization with Heavy Decoder: Toward Large Scale Generalization,https://openreview.net/forum?id=RBI4oAbdpm,"Fu Luo, Xi Lin, Fei Liu, Qingfu Zhang, Zhenkun Wang"
Sample Complexity of Forecast Aggregation,https://openreview.net/forum?id=dlDFakG6kJ,"Tao Lin, Yiling Chen"
Double and Single Descent in Causal Inference with an Application to High-Dimensional Synthetic Control,https://openreview.net/forum?id=dL0GM9Wwtq,"Jann Spiess, guido imbens, Amar Venugopal"
"AMAG: Additive, Multiplicative and Adaptive Graph Neural Network For Forecasting Neuron Activity",https://openreview.net/forum?id=7ntI4kcoqG,"Jingyuan Li, Leo Scholl, Trung Le, Pavithra Rajeswaran, Amy Orsborn, Eli Shlizerman"
Generalized test utilities for long-tail performance in extreme multi-label classification,https://openreview.net/forum?id=jze2r6RDFz,"Erik Schultheis, Marek Wydmuch, Wojciech Kotlowski, Rohit Babbar, Krzysztof Dembczynski"
